,Sharp_Ratio_annl,Sortino_Ratio_annl,annual_return_strat_over_buyhold,atr_thrshld,days_in_trade,end,long_ma,mar,max_drawdown,max_drawdown_pct,mean_annl_pct_return_buyhold,mean_annl_pct_return_strat,mean_annl_pct_return_trd_avg,short_ma,start,tradesperyear,years,tck
0,0.10443683890494969,0.15155356262190006,-15.989527099257185,1.5,30,2017-03-13 00:00:00,60,0.10001988185814738,,40.2859172438,20.01891978253221,4.029392683275024,0.6064051026164492,5,1986-06-06 00:00:00,3.86501156789,30.78904109589041,MSFT
0,0.08817265979619045,0.13044849111129117,-18.895451195248846,0.0,10,2017-03-13 00:00:00,60,0.14602663818667677,,22.8824032703,22.236891618438715,3.3414404231898676,2.8417956891913705,10,1986-06-06 00:00:00,2.98807617014,30.78904109589041,MSFT
0,0.11290514509087854,0.16585335767185577,-17.795412036143055,0.0,20,2017-03-13 00:00:00,60,0.11997925969739746,,37.018728016,22.236891618438715,4.44147958229566,1.3657823269144522,10,1986-06-06 00:00:00,2.98807617014,30.78904109589041,MSFT
0,0.16008764691994862,0.23497403968505015,-15.914005318483971,0.0,30,2017-03-13 00:00:00,60,0.1421793945719446,,44.47118599,22.236891618438715,6.322886299954744,0.8928862818965201,10,1986-06-06 00:00:00,2.98807617014,30.78904109589041,MSFT
0,0.0701821342587989,0.10322742950003691,-19.220078182324606,0.5,10,2017-03-13 00:00:00,60,0.11692040389861179,,22.8824032703,21.895498014855907,2.6754198325313006,2.522665939173447,10,1986-06-06 00:00:00,3.08551343655,30.78904109589041,MSFT
0,0.09116843119343007,0.13303909757795493,-18.328758115350375,0.5,20,2017-03-13 00:00:00,60,0.09634960709526841,,37.018728016,21.895498014855907,3.5667398995055333,1.2719916553726873,10,1986-06-06 00:00:00,3.08551343655,30.78904109589041,MSFT
0,0.1390595012467813,0.20313466703015118,-16.417337732036863,0.5,30,2017-03-13 00:00:00,60,0.1260559376127643,,43.4581693379,21.895498014855907,5.4781602828190445,0.8516570723828325,10,1986-06-06 00:00:00,3.08551343655,30.78904109589041,MSFT
0,0.05983024391834187,0.08754425146296098,-19.15351329341857,1.0,10,2017-03-13 00:00:00,60,0.0991285944739252,,22.8824032703,21.421813767786336,2.268300474367768,2.161192307793552,10,1986-06-06 00:00:00,3.02055525894,30.78904109589041,MSFT
0,0.07055167239058135,0.10222462821756316,-18.657899322959025,1.0,20,2017-03-13 00:00:00,60,0.07466259898597212,,37.018728016,21.421813767786336,2.763914444827309,1.1808015936978504,10,1986-06-06 00:00:00,3.02055525894,30.78904109589041,MSFT
0,0.12823798260937735,0.18719609132495116,-16.366821516476392,1.0,30,2017-03-13 00:00:00,60,0.11631857320104291,,43.4581693379,21.421813767786336,5.054992251309942,0.842725771918443,10,1986-06-06 00:00:00,3.02055525894,30.78904109589041,MSFT
0,0.07600295156447388,0.11257692641200238,-18.939927049477667,1.5,10,2017-03-13 00:00:00,60,0.12220920205904019,,22.8824032703,21.73636729433097,2.7964402448533043,2.09832091478844,10,1986-06-06 00:00:00,2.98807617014,30.78904109589041,MSFT
0,0.05959694231135528,0.08562943891565844,-19.422909347783722,1.5,20,2017-03-13 00:00:00,60,0.06249425819139634,,37.018728016,21.73636729433097,2.3134579465472482,1.1937957645280377,10,1986-06-06 00:00:00,2.98807617014,30.78904109589041,MSFT
0,0.11591673208512218,0.1686557510872806,-17.16614267167347,1.5,30,2017-03-13 00:00:00,60,0.09658191562200515,,47.3196725621,21.73636729433097,4.570224622657504,0.8571368701068285,10,1986-06-06 00:00:00,2.98807617014,30.78904109589041,MSFT
0,0.12796178580073145,0.19900532618863284,-17.08617750320274,0.0,10,2017-03-13 00:00:00,60,0.18863954244852382,,25.358490566,21.869791560765385,4.783614057562646,5.273317023002781,15,1986-06-06 00:00:00,2.63080619327,30.78904109589041,MSFT
0,0.10280215489469656,0.15098552548804206,-17.793148790781068,0.0,20,2017-03-13 00:00:00,60,0.11151590544989204,,36.5566037736,21.869791560765385,4.076642769984318,1.5236157612424424,15,1986-06-06 00:00:00,2.63080619327,30.78904109589041,MSFT
0,0.13655248293796957,0.19881783768807154,-16.487532967015063,0.0,30,2017-03-13 00:00:00,60,0.12472669637912252,,43.1524184477,21.869791560765385,5.382258593750322,0.9474185932107244,15,1986-06-06 00:00:00,2.63080619327,30.78904109589041,MSFT
0,0.14077606082068522,0.22108091633369706,-16.695999624909796,0.5,10,2017-03-13 00:00:00,60,0.20693254589056453,,25.358490566,21.943496637681935,5.24749701277214,5.245528661013662,15,1986-06-06 00:00:00,2.56584801566,30.78904109589041,MSFT
0,0.1351933025348625,0.2001058074463443,-16.60972849223039,0.5,20,2017-03-13 00:00:00,60,0.14590436733364023,,36.5566037736,21.943496637681935,5.333768145451545,1.4567980517101904,15,1986-06-06 00:00:00,2.56584801566,30.78904109589041,MSFT
0,0.17057093746921995,0.24986771204416025,-15.257111207263563,0.5,30,2017-03-13 00:00:00,60,0.15494810420702504,,43.1524184477,21.943496637681935,6.686385430418373,0.793523114767579,15,1986-06-06 00:00:00,2.56584801566,30.78904109589041,MSFT
0,0.15408873703459794,0.24599149454316285,-16.087190179136357,1.0,10,2017-03-13 00:00:00,60,0.3431028727400556,,16.283286119,21.674032424206914,5.586842245070556,4.9017754735567145,15,1986-06-06 00:00:00,2.66328528208,30.78904109589041,MSFT
0,0.14551945092172466,0.21651322167530862,-15.955050462235022,1.0,20,2017-03-13 00:00:00,60,0.22596333174191455,,25.309336333,21.674032424206914,5.718981961971892,1.5980987627872052,15,1986-06-06 00:00:00,2.66328528208,30.78904109589041,MSFT
0,0.16430309870777446,0.24092695188815316,-15.247561924591158,1.0,30,2017-03-13 00:00:00,60,0.14892492079917805,,43.1524184477,21.674032424206914,6.426470499615755,1.0171111853208528,15,1986-06-06 00:00:00,2.66328528208,30.78904109589041,MSFT
0,0.1318398548636067,0.20600405064459476,-16.16200620420185,1.5,10,2017-03-13 00:00:00,60,0.2874004174438499,,16.283286119,20.841829432154558,4.679823227952706,4.248164781748552,15,1986-06-06 00:00:00,2.7932016373,30.78904109589041,MSFT
0,0.13890952701592096,0.20522330928015192,-15.435439943269081,1.5,20,2017-03-13 00:00:00,60,0.21361245580530003,,25.309336333,20.841829432154558,5.406389488885477,1.2921110163424698,15,1986-06-06 00:00:00,2.7932016373,30.78904109589041,MSFT
0,0.14906925533404766,0.21733771106937239,-15.048433623626778,1.5,30,2017-03-13 00:00:00,60,0.13425425542603456,,43.1524184477,20.841829432154558,5.793395808527779,0.8957777841211719,15,1986-06-06 00:00:00,2.7932016373,30.78904109589041,MSFT
0,0.11783691357968706,0.18971386478841998,-17.7626620758492,0.0,10,2017-03-13 00:00:00,60,0.3050884088579385,,13.2743362832,21.812508211131853,4.049846135282653,2.7564553997114825,20,1986-06-06 00:00:00,2.43593166044,30.78904109589041,MSFT
0,0.12280492551094967,0.18616090892072187,-17.137907554260366,0.0,20,2017-03-13 00:00:00,60,0.17319395433708862,,26.9905533063,21.812508211131853,4.674600656871486,1.8095031761814482,20,1986-06-06 00:00:00,2.43593166044,30.78904109589041,MSFT
0,0.1336195101812197,0.19847204779586722,-16.630355055657596,0.0,30,2017-03-13 00:00:00,60,0.11260925185356067,,46.0188933873,21.812508211131853,5.182153155474256,1.3267592765924456,20,1986-06-06 00:00:00,2.43593166044,30.78904109589041,MSFT
0,0.13491746479716357,0.21828345021994477,-17.687404561127515,0.5,10,2017-03-13 00:00:00,60,0.21794451126481562,,20.4373476978,22.141612316681012,4.4542077555534965,3.145352046658172,20,1986-06-06 00:00:00,2.33849439402,30.78904109589041,MSFT
0,0.13091939679688103,0.1981090561663473,-17.250488332928235,0.5,20,2017-03-13 00:00:00,60,0.18121614359804045,,26.9905533063,22.141612316681012,4.8911239837527765,2.801882155613219,20,1986-06-06 00:00:00,2.33849439402,30.78904109589041,MSFT
0,0.1399015814951993,0.2075644282621521,-16.773448418533587,0.5,30,2017-03-13 00:00:00,60,0.11665130347587209,,46.0188933873,22.141612316681012,5.368163898147427,2.4868332426779363,20,1986-06-06 00:00:00,2.33849439402,30.78904109589041,MSFT
0,0.12461191821897828,0.19859266380779003,-18.45702695338609,1.0,10,2017-03-13 00:00:00,60,0.2051444573492404,,20.4373476978,22.649635556515957,4.192608603129866,3.209386892065816,20,1986-06-06 00:00:00,2.43593166044,30.78904109589041,MSFT
0,0.12059877048755198,0.18184141732740158,-18.107132299901064,1.0,20,2017-03-13 00:00:00,60,0.16829974565758188,,26.9905533063,22.649635556515957,4.542503256614894,2.6972927446532085,20,1986-06-06 00:00:00,2.43593166044,30.78904109589041,MSFT
0,0.13627928715104265,0.20174590093248101,-17.38065586315569,1.0,30,2017-03-13 00:00:00,60,0.11449601034545312,,46.0188933873,22.649635556515957,5.268979693360265,2.400348403522151,20,1986-06-06 00:00:00,2.43593166044,30.78904109589041,MSFT
0,0.11161824314136386,0.17184232611127145,-19.351590097393466,1.5,10,2017-03-13 00:00:00,60,0.17854640076997152,,21.4803312629,23.18682593173824,3.8352358343447746,6.127983819301147,20,1986-06-06 00:00:00,2.46841074924,30.78904109589041,MSFT
0,0.11044210166153197,0.16535828654990203,-18.896155763757893,1.5,20,2017-03-13 00:00:00,60,0.15896932972367198,,26.9905533063,23.18682593173824,4.290670167980348,5.659265477852209,20,1986-06-06 00:00:00,2.46841074924,30.78904109589041,MSFT
0,0.13462111391905976,0.19926218346455432,-17.882187848545538,1.5,30,2017-03-13 00:00:00,60,0.11527087447641607,,46.0188933873,23.18682593173824,5.304638083192703,5.396700133947734,20,1986-06-06 00:00:00,2.46841074924,30.78904109589041,MSFT
0,0.05169689674199752,0.07350816621583568,-19.207136541895743,0.0,10,2017-03-13 00:00:00,70,0.09693574186457692,,19.9434229137,21.140367037355933,1.933230495460192,3.0086046884897324,5,1986-06-20 00:00:00,3.67471489665,30.75068493150685,MSFT
0,0.08944334633173333,0.12897506949279036,-17.687308673635727,0.0,20,2017-03-13 00:00:00,70,0.09184010361750007,,37.5985895889,21.140367037355933,3.4530583637202072,1.2386522065462873,5,1986-06-20 00:00:00,3.67471489665,30.75068493150685,MSFT
0,0.12470475125540188,0.18241889278562928,-16.260344241483793,0.0,30,2017-03-13 00:00:00,70,0.12979270896128267,,37.5985895889,21.140367037355933,4.880022795872141,0.704081606629635,5,1986-06-20 00:00:00,3.67471489665,30.75068493150685,MSFT
0,0.04724483656529422,0.0671431681575005,-19.45036468486898,0.5,10,2017-03-13 00:00:00,70,0.08806738973851434,,19.9434229137,21.20672988333134,1.7563651984623618,2.4824544651633436,5,1986-06-20 00:00:00,3.70723449751,30.75068493150685,MSFT
0,0.08604129065322906,0.12413176899423085,-17.890801102307094,0.5,20,2017-03-13 00:00:00,70,0.08819290343804721,,37.5985895889,21.20672988333134,3.3159287810242466,1.1937834094953959,5,1986-06-20 00:00:00,3.70723449751,30.75068493150685,MSFT
0,0.12094905239621616,0.17691411133688636,-16.47875773790126,0.5,30,2017-03-13 00:00:00,70,0.12574865698740806,,37.5985895889,21.20672988333134,4.727972145430082,0.6782420215011097,5,1986-06-20 00:00:00,3.70723449751,30.75068493150685,MSFT
0,0.03439798632058989,0.04848506476940654,-19.411556115989104,1.0,10,2017-03-13 00:00:00,70,0.06321897096275735,,19.9434229137,20.67235879006939,1.2608026740802858,2.498286836630902,5,1986-06-20 00:00:00,3.67471489665,30.75068493150685,MSFT
0,0.07188821887059967,0.1034077282606108,-17.925282477944425,1.0,20,2017-03-13 00:00:00,70,0.0730632808878811,,37.5985895889,20.67235879006939,2.747076312124963,1.2058821960485901,5,1986-06-20 00:00:00,3.67471489665,30.75068493150685,MSFT
0,0.1124974339802907,0.16443757506791015,-16.303373751090742,1.0,30,2017-03-13 00:00:00,70,0.1162007694103425,,37.5985895889,20.67235879006939,4.3689850389786455,0.7040025530491579,5,1986-06-20 00:00:00,3.67471489665,30.75068493150685,MSFT
0,0.031489702006646574,0.044326136542492345,-19.80266575329257,1.5,10,2017-03-13 00:00:00,70,0.05766251525367724,,19.9434229137,20.952653681265332,1.149987927972762,2.497012437148416,5,1986-06-20 00:00:00,3.64219529579,30.75068493150685,MSFT
0,0.09270857595597559,0.13426094754789622,-17.39493812601438,1.5,20,2017-03-13 00:00:00,70,0.09462364397566092,,37.5985895889,20.952653681265332,3.557715555250951,1.2446298905031974,5,1986-06-20 00:00:00,3.64219529579,30.75068493150685,MSFT
0,0.11820953796314959,0.17279606110518167,-16.345969095090872,1.5,30,2017-03-13 00:00:00,70,0.12252280302369188,,37.5985895889,20.952653681265332,4.606684586174459,0.6095055788203984,5,1986-06-20 00:00:00,3.64219529579,30.75068493150685,MSFT
