,Sharp Ratio annl,Sortino Ratio annl,atr thrshld,days in trade,end,long ma,mar,max drawdown,mean annl pct return,mean annl pct return buyhold,mean annl pct return strat,mean annl pct return trd avg,short ma,start,years
0,0.03851158958826999,0.0675467691557206,1.5,5,2017-03-09 00:00:00,100,0.17470216121084478,0.157032755299,,5.759221987589913,2.7433961731567758,111773449.46031263,30,1993-07-08 00:00:00,23.684931506849313
0,0.06079239604170158,0.10215185059205789,1.5,15,2017-03-09 00:00:00,100,0.14796792159238736,0.3096,,5.759221987589913,4.581086852500493,42299.96361981408,30,1993-07-08 00:00:00,23.684931506849313
0,0.04031775976902356,0.06355390213302703,1.5,25,2017-03-09 00:00:00,100,0.036084130179549714,0.823218997361,,5.759221987589913,2.970514146706993,299.78574434588745,30,1993-07-08 00:00:00,23.684931506849313
0,0.04648022808418871,0.08315559141183161,2.0,5,2017-03-09 00:00:00,100,0.1997822763706715,0.157032755299,,5.293519934943491,3.1372361318322772,103167228.3434403,30,1993-07-08 00:00:00,23.684931506849313
0,0.08088212164573037,0.13772652780066125,2.0,15,2017-03-09 00:00:00,100,0.18868721297417454,0.3096,,5.293519934943491,5.841756113680674,39076.929284782396,30,1993-07-08 00:00:00,23.684931506849313
0,0.04832781717589228,0.07645607351598135,2.0,25,2017-03-09 00:00:00,100,0.04231007927792826,0.823218997361,,5.293519934943491,3.4830461041460703,239.81261910851518,30,1993-07-08 00:00:00,23.684931506849313
0,-0.003988076488317886,-0.00639418699741644,0.5,5,2017-03-09 00:00:00,110,-0.01594803371433554,0.166666666667,,3.4973399026481777,-0.26580056190558254,2524.2417718867623,10,1993-07-22 00:00:00,23.646575342465752
0,-0.003473800643804497,-0.0052424704505142404,0.5,15,2017-03-09 00:00:00,110,-0.0066388776542240955,0.35594639866,,3.4973399026481777,-0.23630845921653876,631.8231005470411,10,1993-07-22 00:00:00,23.646575342465752
0,0.03503378314684464,0.05372883220282472,0.5,25,2017-03-09 00:00:00,110,0.04592948028265023,0.541598694943,,3.4973399026481777,2.4875346580489177,347.6984919118031,10,1993-07-22 00:00:00,23.646575342465752
0,-0.0007753091102851419,-0.0012610541857116149,1.0,5,2017-03-09 00:00:00,110,-0.0030707579333609813,0.166666666667,,4.034543907000088,-0.0511792988893478,2550.986280175208,10,1993-07-22 00:00:00,23.646575342465752
0,-0.005154079013311046,-0.007724615402921128,1.0,15,2017-03-09 00:00:00,110,-0.009830492166082453,0.35594639866,,4.034543907000088,-0.34991282835723503,630.2424121081073,10,1993-07-22 00:00:00,23.646575342465752
0,0.04576212788793285,0.07037156862585464,1.0,25,2017-03-09 00:00:00,110,0.05948032099069398,0.541598694943,,4.034543907000088,3.221446422334484,344.4890040247583,10,1993-07-22 00:00:00,23.646575342465752
0,-0.013628134075622151,-0.021478267518318266,1.5,5,2017-03-09 00:00:00,110,-0.054332922236528976,0.166666666667,,3.9587502972803223,-0.9055487039421162,2520.9359974059103,10,1993-07-22 00:00:00,23.646575342465752
0,-0.007729201539746323,-0.011512616944314219,1.5,15,2017-03-09 00:00:00,110,-0.0154679258706194,0.338375796178,,3.9587502972803223,-0.5233971731698706,614.4069858543248,10,1993-07-22 00:00:00,23.646575342465752
0,0.05318310012820994,0.08189012138583056,1.5,25,2017-03-09 00:00:00,110,0.06957620921190857,0.541598694943,,3.9587502972803223,3.7682384108244094,671.2967779181304,10,1993-07-22 00:00:00,23.646575342465752
0,-0.0013597148409005815,-0.0022071360354462407,2.0,5,2017-03-09 00:00:00,110,-0.005471080413970354,0.166666666667,,5.049647824046244,-0.09118467356616922,2837.7806142710037,10,1993-07-22 00:00:00,23.646575342465752
0,0.021328930382820247,0.032302181999673656,2.0,15,2017-03-09 00:00:00,110,0.04285203650361487,0.338375796178,,5.049647824046244,1.4500091969774864,672.654698389162,10,1993-07-22 00:00:00,23.646575342465752
0,0.08632949417648418,0.13437654522324366,2.0,25,2017-03-09 00:00:00,110,0.11191555267081046,0.541598694943,,5.049647824046244,6.061331727032471,741.5388931820438,10,1993-07-22 00:00:00,23.646575342465752
0,-0.025609532674877512,-0.03679563547081177,0.5,5,2017-03-09 00:00:00,110,-0.10281098667356878,0.171787709497,,3.5066260854978326,-1.7661663911799796,7095.203146012061,20,1993-07-22 00:00:00,23.646575342465752
0,0.01648707177399132,0.025745308918554914,0.5,15,2017-03-09 00:00:00,110,0.03465278978431994,0.355359005453,,3.5066260854978326,1.2314180913917783,9175.398705572898,20,1993-07-22 00:00:00,23.646575342465752
0,0.026276150196461647,0.039903614174012926,0.5,25,2017-03-09 00:00:00,110,0.031102920869695874,0.602494848333,,3.5066260854978326,1.873934959210799,9205.498584769603,20,1993-07-22 00:00:00,23.646575342465752
0,-0.010642881590287166,-0.015759751440819442,1.0,5,2017-03-09 00:00:00,110,-0.04389734136784135,0.171787709497,,4.6987518909873405,-0.7541023726598262,12562.990873091954,20,1993-07-22 00:00:00,23.646575342465752
0,0.036508626620513164,0.05827311517000753,1.0,15,2017-03-09 00:00:00,110,0.07895267361315911,0.355359005453,,4.6987518909873405,2.805654357300469,8410.402449914169,20,1993-07-22 00:00:00,23.646575342465752
0,0.05593361112328105,0.08653156414379012,1.0,25,2017-03-09 00:00:00,110,0.06790478716302063,0.602494848333,,4.6987518909873405,4.091228444288464,8436.81991258257,20,1993-07-22 00:00:00,23.646575342465752
0,-0.024630291197275164,-0.03478404194143104,1.5,5,2017-03-09 00:00:00,110,-0.09679781763813243,0.171787709497,,3.378030392461029,-1.6628675376382684,6717.442816301005,20,1993-07-22 00:00:00,23.646575342465752
0,0.019244713648869344,0.030176235685155532,1.5,15,2017-03-09 00:00:00,110,0.04085900754823827,0.355359005453,,3.378030392461029,1.4519616286126746,8364.828766065391,20,1993-07-22 00:00:00,23.646575342465752
0,0.03426556078675626,0.052113154445890535,1.5,25,2017-03-09 00:00:00,110,0.04106469907167141,0.602494848333,,3.378030392461029,2.4741269639036556,8406.434102360727,20,1993-07-22 00:00:00,23.646575342465752
0,-0.025616089210349142,-0.0362518689526668,2.0,5,2017-03-09 00:00:00,110,-0.10120774646281863,0.171787709497,,3.41312139397274,-1.7386246948221218,432.39388522925,20,1993-07-22 00:00:00,23.646575342465752
0,0.017124591697332943,0.026721952879648816,2.0,15,2017-03-09 00:00:00,110,0.03619184206916717,0.355359005453,,3.41312139397274,1.2861097003200817,8058.391722827125,20,1993-07-22 00:00:00,23.646575342465752
0,0.02198860884603793,0.03334586434305629,2.0,25,2017-03-09 00:00:00,110,0.02630546060690693,0.602494848333,,3.41312139397274,1.584890449869425,8153.887772841532,20,1993-07-22 00:00:00,23.646575342465752
0,0.012367437057968821,0.020942385475426713,0.5,5,2017-03-09 00:00:00,110,0.035783570948530824,0.306656101426,,5.624702557989414,1.0973250362188436,1501535.156447567,30,1993-07-22 00:00:00,23.646575342465752
0,0.051949958237086764,0.08473608450455372,0.5,15,2017-03-09 00:00:00,110,0.1273542525603496,0.306656101426,,5.624702557989414,3.9053958590219207,18771.659951956557,30,1993-07-22 00:00:00,23.646575342465752
0,0.0221221701431021,0.034258133294349624,0.5,25,2017-03-09 00:00:00,110,0.03272836905108357,0.513911620295,,5.624702557989414,1.6819489168641955,395.5655403703216,30,1993-07-22 00:00:00,23.646575342465752
0,0.0020637365309419285,0.003362528711431246,1.0,5,2017-03-09 00:00:00,110,0.006034110221224859,0.306656101426,,5.129298723049058,0.18503967160174994,1493268.3385763243,30,1993-07-22 00:00:00,23.646575342465752
0,0.050763075075518076,0.08238053499178001,1.0,15,2017-03-09 00:00:00,110,0.12334404247641007,0.306656101426,,5.129298723049058,3.7824203199977813,18774.07673964073,30,1993-07-22 00:00:00,23.646575342465752
0,0.024503000095177804,0.03796997285221498,1.0,25,2017-03-09 00:00:00,110,0.03606327702691077,0.513911620295,,5.129298723049058,1.853333713003269,489.47111704921866,30,1993-07-22 00:00:00,23.646575342465752
0,0.0072296983277548256,0.011949906668817522,1.5,5,2017-03-09 00:00:00,110,0.021111745043280918,0.306656101426,,6.079773006372102,0.6474045429278874,1393616.6828682402,30,1993-07-22 00:00:00,23.646575342465752
0,0.051901429111818685,0.0845313652208968,1.5,15,2017-03-09 00:00:00,110,0.12486952397984732,0.306656101426,,6.079773006372102,3.8292001410619836,17534.695107458912,30,1993-07-22 00:00:00,23.646575342465752
0,0.01699711967460738,0.026205788486953725,1.5,25,2017-03-09 00:00:00,110,0.023388720317242973,0.541598694943,,6.079773006372102,1.2667300400203363,339.2981929726372,30,1993-07-22 00:00:00,23.646575342465752
0,0.019487705057293102,0.034424218746540614,2.0,5,2017-03-09 00:00:00,110,0.07852005764530665,0.208860759494,,7.114620987890552,1.639975887528533,1349431.735582501,30,1993-07-22 00:00:00,23.646575342465752
0,0.07498235072229474,0.13119656782180292,2.0,15,2017-03-09 00:00:00,110,0.24930589585410315,0.224637681159,,7.114620987890552,5.600349834404383,20065.812772085097,30,1993-07-22 00:00:00,23.646575342465752
0,0.018813349842464886,0.029717221305755673,2.0,25,2017-03-09 00:00:00,110,0.026146385584946717,0.541598694943,,7.114620987890552,1.4160848310281082,586.7582444197252,30,1993-07-22 00:00:00,23.646575342465752
0,0.024061981508561522,0.04100487865489833,0.5,5,2017-03-09 00:00:00,120,0.09958007502147226,0.166666666667,,5.4440675111488535,1.6596679170244766,31031.959319388243,10,1993-08-05 00:00:00,23.60821917808219
0,-0.0035801895189789337,-0.005416541536492305,0.5,15,2017-03-09 00:00:00,120,-0.007576915470379885,0.338375796178,,5.4440675111488535,-0.25638448048659335,1066.5102056229944,10,1993-08-05 00:00:00,23.60821917808219
0,0.024190817226722502,0.037267585230085866,0.5,25,2017-03-09 00:00:00,120,0.030555539996276655,0.576388888889,,5.4440675111488535,1.761187374785389,839.0891422826487,10,1993-08-05 00:00:00,23.60821917808219
0,0.020947934971530857,0.035689080652597356,1.0,5,2017-03-09 00:00:00,120,0.08646430263873536,0.166666666667,,6.244455093996604,1.4410717106455362,31013.891849506086,10,1993-08-05 00:00:00,23.60821917808219
0,-0.00042382070974004055,-0.0006419995299391194,1.0,15,2017-03-09 00:00:00,120,-0.0009279984154421078,0.326923076923,,6.244455093996604,-0.03033840973560853,1071.5976451305798,10,1993-08-05 00:00:00,23.60821917808219
0,0.0334981345428253,0.05172885302195785,1.0,25,2017-03-09 00:00:00,120,0.04234869988055009,0.576388888889,,6.244455093996604,2.4409320070039264,843.2518093763431,10,1993-08-05 00:00:00,23.60821917808219
0,0.027917479631779554,0.048170851484605676,1.5,5,2017-03-09 00:00:00,120,0.08770636300400625,0.215927546769,,7.118312485768019,1.8938219799458977,30350.75940214823,10,1993-08-05 00:00:00,23.60821917808219
0,0.012886487153891782,0.019631708384058994,1.5,15,2017-03-09 00:00:00,120,0.027940600000659614,0.326923076923,,7.118312485768019,0.9134426923292915,1098.3210436369657,10,1993-08-05 00:00:00,23.60821917808219
0,0.047461510125230366,0.07355175599199654,1.5,25,2017-03-09 00:00:00,120,0.059550175585028814,0.576388888889,,7.118312485768019,3.4324059538592966,865.2332887180661,10,1993-08-05 00:00:00,23.60821917808219
0,0.019004585024016096,0.03273884459563571,2.0,5,2017-03-09 00:00:00,120,0.07964335628561194,0.156985871272,,6.42699886093081,1.2502881677489475,5899.428954401019,10,1993-08-05 00:00:00,23.60821917808219
0,0.01472953585249493,0.02358173290601771,2.0,15,2017-03-09 00:00:00,120,0.033629097487565325,0.326923076923,,6.42699886093081,1.099412802478139,1792.3244992890584,10,1993-08-05 00:00:00,23.60821917808219
0,0.037597948362426394,0.05804640665503722,2.0,25,2017-03-09 00:00:00,120,0.04711003446827965,0.576388888889,,6.42699886093081,2.7153700422688942,722.7965545412029,10,1993-08-05 00:00:00,23.60821917808219
0,-0.03196001476097197,-0.042061911560875256,0.5,5,2017-03-09 00:00:00,120,-0.07055172483621598,0.317473338802,,5.4891590542788915,-2.2398291642014567,9849.929562171754,20,1993-08-05 00:00:00,23.60821917808219
0,0.0043761598511381904,0.006775103020410134,0.5,15,2017-03-09 00:00:00,120,0.010814285816236911,0.317473338802,,5.4891590542788915,0.3433247424843078,308.9796449776986,20,1993-08-05 00:00:00,23.60821917808219
0,-0.004475537315909025,-0.006748259025363769,0.5,25,2017-03-09 00:00:00,120,-0.005696850551651116,0.576388888889,,5.4891590542788915,-0.3283601359632238,232.46339035712026,20,1993-08-05 00:00:00,23.60821917808219
0,-0.020960025375082153,-0.02832750623231531,1.0,5,2017-03-09 00:00:00,120,-0.047032930760172925,0.317473338802,,5.601919852584003,-1.493170156208945,18718.496968945023,20,1993-08-05 00:00:00,23.60821917808219
0,0.0002961640111848543,0.00045272442385095043,1.0,15,2017-03-09 00:00:00,120,0.000541453018395035,0.433515482696,,5.601919852584003,0.023472826662662705,361.55294306427567,20,1993-08-05 00:00:00,23.60821917808219
0,-0.008233976618973148,-0.012420237830893435,1.0,25,2017-03-09 00:00:00,120,-0.009718966689198914,0.621129326047,,5.601919852584003,-0.6036735229538848,202.94107856873816,20,1993-08-05 00:00:00,23.60821917808219
0,-0.016016187244086,-0.021766626238238846,1.5,5,2017-03-09 00:00:00,120,-0.03784679793972983,0.317473338802,,5.9427063667647495,-1.2015349304902,10974.224916598423,20,1993-08-05 00:00:00,23.60821917808219
0,0.002919333059800343,0.004495685750090864,1.5,15,2017-03-09 00:00:00,120,0.00524674951064176,0.435290322581,,5.9427063667647495,0.22838592869871555,428.29484737238283,20,1993-08-05 00:00:00,23.60821917808219
0,-0.00015354069386670942,-0.00023372870110956626,1.5,25,2017-03-09 00:00:00,120,-0.00017929330909702333,0.621129326047,,5.9427063667647495,-0.011136433224423481,320.0495063064746,20,1993-08-05 00:00:00,23.60821917808219
0,-0.0199415980257798,-0.026887815747865862,2.0,5,2017-03-09 00:00:00,120,-0.045469741004747384,0.317473338802,,5.583861679741875,-1.4435430491252954,4188.745912001186,20,1993-08-05 00:00:00,23.60821917808219
0,-0.0068020294822619615,-0.010362424310942392,2.0,15,2017-03-09 00:00:00,120,-0.011298563050666757,0.463651050081,,5.583861679741875,-0.5238590622845485,402.69376814291496,20,1993-08-05 00:00:00,23.60821917808219
0,-0.0029973725084039195,-0.00457296272987187,2.0,25,2017-03-09 00:00:00,120,-0.003858994200235765,0.552504038772,,5.583861679741875,-0.21321098812288053,299.3686761033571,20,1993-08-05 00:00:00,23.60821917808219
0,0.005196735670124278,0.009293697976101661,0.5,5,2017-03-09 00:00:00,120,0.02011860576651158,0.217391304348,,7.19294144547582,0.43736099492417413,20182.196455871723,30,1993-08-05 00:00:00,23.60821917808219
0,0.028298092300402807,0.04807667194829314,0.5,15,2017-03-09 00:00:00,120,0.0771880162187326,0.286442405708,,7.19294144547582,2.2109921057558157,3032.011905337353,30,1993-08-05 00:00:00,23.60821917808219
