,0,1,2,3,aapl_return_pct,amzn_return_pct,cof_return_pct,return_annualized,sharpe_ratio,xom_return_pct
0,,,,,0.55,0.05,0.45,24.941241388856326,0.25375929167899786,0.15
0,,,,,0.55,0.05,0.55,25.812297779511326,0.2391895219111682,0.15
0,,,,,0.55,0.05,0.65,26.683354170166318,0.22591906688851,0.15
0,,,,,0.55,0.05,0.75,27.554410560821335,0.21403756423912929,0.15
0,,,,,0.65,0.05,0.05,24.77396158744657,0.30519355272313825,0.15
0,,,,,0.65,0.05,0.15,25.645017978101563,0.2989225431722754,0.15
0,,,,,0.65,0.05,0.25,26.51607436875657,0.28845970281645267,0.15
0,,,,,0.65,0.05,0.35,27.38713075941158,0.2758330805497577,0.15
0,,,,,0.65,0.05,0.45,28.25818715006659,0.2625351502558625,0.15
0,,,,,0.65,0.05,0.55,29.12924354072161,0.24949281860110464,0.15
0,,,,,0.65,0.05,0.65,30.000299931376624,0.2372011786912875,0.15
0,,,,,0.65,0.05,0.75,30.871356322031623,0.22587591799231144,0.15
0,,,,,0.75,0.05,0.05,28.09090734865684,0.30419695549463466,0.15
0,,,,,0.75,0.05,0.15,28.961963739311862,0.29937500192756333,0.15
0,,,,,0.75,0.05,0.25,29.833020129966883,0.29101461168395576,0.15
